video,accuracy,precision,recall,f1,tp,fp,fn,w,h,square
1080p_20220405_162314_recording_1649158560_66,0.1876957494407158,0.4909303686366296,0.2330555555555555,0.3160670559427387,839,870,2761,86.06827931363203,106.77180648236416,9226.456625357483
1080p_20220419_112841_recording_1650351600_be,0.00542888165038,0.1923076923076923,0.0055555555555555,0.0107991360691144,20,84,3580,56.912145607280365,76.7126356317816,4452.296464823241
saslastnikov,0.0789690910758506,0.8931535269709544,0.0797222222222222,0.1463787827269636,861,103,9939,62.39793169375163,85.12540192926045,6437.046667246024
6847068375719,0.0241666666666666,1.0,0.0241666666666666,0.0471928397070789,87,0,3513,90.8887240356083,126.39354599406528,11589.924703264094
atrium_118_2,0.7344601459314676,0.9966161173079332,0.7362962962962963,0.8469034559880718,7952,27,2848,148.37886645675124,222.91090942767178,33177.28746064086
adpiskunov,0.8138888888888889,1.0,0.8138888888888889,0.8973966309341501,2930,0,670,135.14020559680182,203.2946887492861,27503.087093089664
1080p_20220419_173326_recording_1650373200_25,0.8660846647998682,1.0,0.8660846647998682,0.9282372671903962,10516,0,1626,131.100465509945,169.85907744392722,22460.280829454085
1080p_20230407_144945_presenter_14938622_bbc3,0.9958333333333332,1.0,0.9958333333333332,0.9979123173277662,3585,0,15,139.14309530425118,207.37371492081132,28856.501806057237
atrium_118_3,0.4054429325187448,0.999315537303217,0.4055555555555555,0.576961074886386,1460,1,2140,167.8834680791748,223.71090047393366,37683.05798717591
6847068375719_1,0.8135974786132373,1.0,0.8135974786132373,0.897219463753724,1807,0,414,186.54133949191686,230.080831408776,42943.2415704388
7008781273705_1,0.0,0.0,0.0,0.0,0,17,7200,47.91507056451613,61.15196572580645,2954.888608870968
atrium_125_6,0.6963887650468124,0.996554804134235,0.6980693600286021,0.8210249671484888,7810,27,3378,150.45093961799137,199.66389402341343,30448.104975354283
atrium_125_4,0.8590436590436591,0.9975857073877354,0.8608333333333333,0.9241780362335048,6198,15,1002,211.640625,271.17789564220186,57501.45900229358
atrium_118_1,0.9933333333333332,1.0,0.9933333333333332,0.9966555183946488,3576,0,24,143.81737358770144,196.94378588627524,28322.723745137988
atrium_118_6,0.9859722222222222,1.0,0.9859722222222222,0.9929365689908384,14198,0,202,162.31652777777776,218.10416666666666,35401.790625
1080p_20220330_154734_recording_1648639200_1e,0.1817843173775377,0.3555555555555555,0.2711111111111111,0.3076438140267927,976,1769,2624,68.16336368505624,85.30405284770576,5886.514372433494
7008781273705_2,0.0,0.0,0.0,0.0,0,3,7200,48.987177432280816,62.75573008494951,3080.774162526046
palmasizade,0.8450665188470067,0.9973830552829572,0.8469444444444445,0.9160282409493766,3049,8,551,74.7979683972912,98.87841165606403,7752.585573568644
01080p_20230322_101245_608727_0427,0.9480555555555557,1.0,0.9480555555555557,0.9733352345643804,3413,0,187,136.7191418222346,202.63499582056284,27710.5865143494
1080p_20220331_155536_recording_1648726140_8e,0.209734305196332,0.5773462783171521,0.2477777777777778,0.3467444120505345,892,653,2708,73.07917383820998,92.19449225473322,6738.364027538726
7008781273705,0.0,0.0,0.0,0.0,0,81,7200,51.80645749726377,76.02079533017147,4018.643013498723
1080p_20220331_135917_recording_1648718820_5b,0.2675292153589315,0.5181891673403395,0.3561111111111111,0.4221270991109647,1282,1192,2318,69.35803969218307,87.1753746456055,6090.094977723775
1080p_20220331_115400_recording_1648711500_cf,0.6833508956796628,0.9297491039426524,0.7205555555555555,0.8118935837245695,2594,196,1006,70.89455461126849,89.1657223796034,6327.106861819327
1080p_20220331_125501_recording_1648715160_ed,0.2308027923211169,0.5181194906953966,0.2938888888888888,0.3750443105281815,1058,984,2542,70.64999011271505,91.4095313426933,6471.172829740953
1080p_20230318_192453_recording_1679139360_ac,0.8084583901773533,0.9785336856010568,0.8230555555555555,0.8940856970428485,2963,65,637,138.88962727535394,209.45333718578445,29101.175960704997
7132965636760_1,0.0061841502519468,0.0340479192938209,0.0075,0.0122922831777828,27,766,3573,53.62297734627832,72.1051779935275,3899.8442556634304
7159730539244,0.0,0.0,0.0,0.0,0,208,3600,38.22352941176471,55.0961262553802,2114.0651362984217
1080p_20220330_183500_recording_1648646400_9f,0.7015778019586507,0.9713747645951036,0.7163888888888889,0.8246203037569944,2579,76,1021,69.95137693631669,91.69169535283993,6502.061746987952
6847068375719_4,0.3317191283292978,1.0,0.3317191283292978,0.4981818181818181,1918,0,3864,190.33977455716587,284.91143317230274,56835.15959921274
1080p_20220419_172843_recording_1650373200_e4,0.5819444444444445,1.0,0.5819444444444445,0.7357330992098333,2095,0,1505,248.58967741935484,362.00451612903225,90170.75064516129
1080p_20220419_133202_recording_1650358800_2a,0.5233644859813084,1.0,0.5233644859813084,0.6871165644171778,112,0,102,105.93430656934306,157.52554744525548,16966.299270072992
1080p_20220331_175806_recording_1648733160_9c(1),0.6027739251040222,0.997704315886134,0.6036111111111111,0.7521633783316026,2173,5,1427,64.28355879292404,87.52393340270551,5641.216181061394
6847068375719_5,0.3692980629035617,1.0,0.3692980629035617,0.5393976270155156,1773,0,3028,185.82646988812186,258.0447512497025,48881.92597000714
1080p_20230318_181608_602198_0,0.8313888888888888,1.0,0.8313888888888888,0.9079326558471106,2993,0,607,140.05147468002227,201.43850862548692,28260.088202559822
atrium_125_1,0.6578703703703703,1.0,0.6578703703703703,0.7936330633901144,7105,0,3695,201.47173510510837,259.1469338851977,52260.38677703954
1080p_20220330_204700_recording_1648657080_0c,0.8254693049213597,0.9048943270300334,0.9038888888888889,0.904391328515842,3254,342,346,73.97790790524354,93.78786265637477,6946.863721054033
6847068375719_3,0.2627892167268096,1.0,0.2627892167268096,0.4162044041015297,1238,0,3473,136.1014526710403,204.30459231490158,28201.623711340206
1080p_20220419_153157_recording_1650366000_bc,0.1663888888888889,1.0,0.1663888888888889,0.2853060252441057,599,0,3001,51.89048144064682,84.49430356486586,4621.9643513414185
vvromanov,0.5645799394926693,0.9079341317365268,0.5988644779066897,0.7217016213000149,2426,246,1625,94.5740759806445,127.27355091115001,12925.980541542263
atrium_125_5,0.7719444444444444,1.0,0.7719444444444444,0.8712964414485029,5558,0,1642,190.28502089793716,241.0248078738034,46248.0852096535
