video,accuracy,precision,recall,f1,tp,fp,fn,w,h,square
1080p_20220330_204700_recording_1648657080_0c,0.7914278594567655,0.8849261632766787,0.8822222222222222,0.8835721240784532,3176,413,424,73.89182755884687,93.77096006347529,6937.673102353875
6847068375719_3,0.2533112582781457,0.9100371747211896,0.2598174485247294,0.404227212681638,1224,121,3487,136.42188961646397,204.50795135640783,28289.1653414406
1080p_20220419_153157_recording_1650366000_bc,0.1668980838655928,0.9983388704318936,0.1669444444444444,0.2860542598762494,601,1,2999,51.82333577176298,84.18068763716167,4598.5124359912215
vvromanov,0.5311057375247307,0.8291008922443377,0.5963959516168847,0.6937544867193108,2416,498,1635,94.34042553191487,126.81522956326988,12852.33533543724
atrium_125_5,0.7579794615598112,0.9989027066569128,0.7586111111111111,0.8623302810230502,5462,6,1738,190.1354742949669,240.848468492781,46185.9809742275
1080p_20220331_211018_recording_1648744140_1c,0.2294557097118463,0.4976851851851852,0.2986111111111111,0.3732638888888889,1075,1085,2525,66.20423228346456,85.78617125984252,5730.744094488189
1080p_20220602_111012_recording_1654092000_c4,0.7634498058790904,0.9978252990213844,0.7647222222222222,0.8658594118572103,2753,6,847,114.59236947791165,135.67562557924003,15501.428174235403
1080p_20220330_123150_recording_1648628700_1d,0.3551467163483931,0.6872465074357819,0.4236111111111111,0.5241450421034541,1525,694,2075,71.13209668353008,89.46561738804571,6402.635000936856
1080p_20220331_175806_recording_1648733160_9c,0.4799747048903878,0.6655948553054662,0.6325,0.6486255519156814,2277,1144,1323,68.3942065491184,87.82955499580184,6027.561153092639
6945730529978,0.000406421459053,0.1176470588235294,0.0004076640847941,0.0008125126955108,2,15,4904,67.45967462789892,102.74004845967464,9663.419522326065
7132965636760,0.0027533039647577,0.238095238095238,0.0027777777777777,0.0054914881933003,10,32,3590,59.35915492957746,77.62288732394366,5492.536971830986
atrium_125_3,0.9258092237181323,0.994767620806402,0.9303396660909614,0.9614755317566562,3232,17,242,198.00494401628615,253.87523629489604,50469.09568125636
6816186370656,0.499514091350826,0.9991668980838656,0.4997222222222222,0.6662346079066752,3598,3,3602,75.73916781292985,97.88084594222832,7435.3383768913345
1080p_20220330_144234_recording_1648635300_87,0.4475788538427365,0.6907781967775112,0.5597222222222222,0.6183826914224337,2015,902,1585,71.94439874979437,95.07961835828262,6921.022865602895
0421080p_20230311_165308_recording_1678521960,0.7741398446170921,0.9985683607730852,0.775,0.8726931498279638,2790,4,810,100.55821061405946,143.51014170602946,14432.969158099471
TOTAL,0.5090116677696495,0.9013550679117596,0.5390397358310682,0.6746292008755364,170750,18687,146017,111.11928430491778,151.4958778329082,20782.967348858758
