video                                           , accuracy             , precision          , recall                , f1                   , tp    , fp   , fn
1080p_20220331_155536_recording_1648726140_8e   , 0.16075062174994348  , 0.4634941329856584 , 0.1975                , 0.27697701597195173  ,    711,   823,   2889
7008781273705                                   , 0.002986695628563671 , 0.11702127659574468, 0.0030555555555555557 , 0.005955603681645913 ,     22,   166,   7178
1080p_20220331_135917_recording_1648718820_5b   , 0.24220963172804533  , 0.47144545096494683, 0.3325                , 0.3899657924743444   ,   1197,  1342,   2403
1080p_20220331_115400_recording_1648711500_cf   , 0.5803977953510664   , 0.8086811352253757 , 0.6727777777777778    , 0.7344958301743746   ,   2422,   573,   1178
1080p_20220331_125501_recording_1648715160_ed   , 0.21128226477935055  , 0.45741324921135645, 0.28194444444444444   , 0.34885719195738096  ,   1015,  1204,   2585
1080p_20230318_192453_recording_1679139360_ac   , 0.7847655191108701   , 0.9701742627345844 , 0.8041666666666667    , 0.879404617253949    ,   2895,    89,    705
7132965636760_1                                 , 0.011235955056179775 , 0.04814814814814815, 0.014444444444444444  , 0.022222222222222223 ,     52,  1028,   3548
7159730539244                                   , 0.0                  , 0.0                , 0.0                   , 0.0                  ,      0,   756,   3600
1080p_20220330_183500_recording_1648646400_9f   , 0.5996324494618009   , 0.9161652627356599 , 0.6344444444444445    , 0.7497127851633022   ,   2284,   209,   1316
6847068375719_4                                 , 0.3129274965800274   , 0.9651898734177216 , 0.31649948114839155   , 0.4766866371450899   ,   1830,    66,   3952
1080p_20220419_172843_recording_1650373200_e4   , 0.5904682737600443   , 0.9957943925233644 , 0.5919444444444445    , 0.7425087108013937   ,   2131,     9,   1469
1080p_20220419_133202_recording_1650358800_2a   , 0.411214953271028    , 1.0                , 0.411214953271028     , 0.5827814569536424   ,     88,     0,    126
1080p_20220331_175806_recording_1648733160_9c(1), 0.5874488403819919   , 0.9706943192064923 , 0.5980555555555556    , 0.7401168786524579   ,   2153,    65,   1447
6847068375719_5                                 , 0.3621621621621622   , 0.9948600799543118 , 0.3628410747760883    , 0.5317460317460317   ,   1742,     9,   3059
1080p_20230318_181608_602198_0                  , 0.7971334068357222   , 0.9904109589041096 , 0.8033333333333333    , 0.8871165644171779   ,   2892,    28,    708
atrium_125_1                                    , 0.6486237687563289   , 0.9911379940919961 , 0.6524074074074074    , 0.786866938410855    ,   7046,    63,   3754
1080p_20220330_204700_recording_1648657080_0c   , 0.7914278594567655   , 0.8849261632766787 , 0.8822222222222222    , 0.8835721240784532   ,   3176,   413,    424
6847068375719_3                                 , 0.2533112582781457   , 0.9100371747211896 , 0.2598174485247294    , 0.404227212681638    ,   1224,   121,   3487
1080p_20220419_153157_recording_1650366000_bc   , 0.16689808386559288  , 0.9983388704318937 , 0.16694444444444445   , 0.28605425987624944  ,    601,     1,   2999
vvromanov                                       , 0.5311057375247307   , 0.8291008922443377 , 0.5963959516168847    , 0.6937544867193108   ,   2416,   498,   1635
atrium_125_5                                    , 0.7579794615598112   , 0.9989027066569129 , 0.7586111111111111    , 0.8623302810230502   ,   5462,     6,   1738
1080p_20220331_211018_recording_1648744140_1c   , 0.2294557097118463   , 0.4976851851851852 , 0.2986111111111111    , 0.3732638888888889   ,   1075,  1085,   2525
1080p_20220602_111012_recording_1654092000_c4   , 0.7634498058790904   , 0.9978252990213845 , 0.7647222222222222    , 0.8658594118572103   ,   2753,     6,    847
1080p_20220330_123150_recording_1648628700_1d   , 0.3551467163483931   , 0.6872465074357819 , 0.4236111111111111    , 0.5241450421034541   ,   1525,   694,   2075
1080p_20220331_175806_recording_1648733160_9c   , 0.47997470489038785  , 0.6655948553054662 , 0.6325                , 0.6486255519156814   ,   2277,  1144,   1323
6945730529978                                   , 0.000406421459053038 , 0.11764705882352941, 0.00040766408479412964, 0.0008125126955108674,      2,    15,   4904
7132965636760                                   , 0.0027533039647577094, 0.23809523809523808, 0.002777777777777778  , 0.0054914881933003845,     10,    32,   3590
atrium_125_3                                    , 0.9258092237181323   , 0.994767620806402  , 0.9303396660909614    , 0.9614755317566562   ,   3232,    17,    242
6816186370656                                   , 0.49951409135082603  , 0.9991668980838656 , 0.49972222222222223   , 0.6662346079066752   ,   3598,     3,   3602
